Title,Category 2,Category 3,Supplement Facts,fail_reason
"Nordic Naturals, Arctic Cod Liver Oil, Strawberry, 8 fl oz (237 ml)",Cod Liver Oil,,"Supplement FactsServing Size: 1 Teaspoon (5 ml)Serving Per Container: 48 Amount Per Serving%Daily Value¹♦%Daily Value²**Calories40  Total Fat4.5 g12%6%Saturated Fat0.5 g5%2.5%Trans Fat0 g††Cholesterol20 mg7%7%Vitamin A40 mcg RAE13%4%Total Omega-3s1060 mg††EPA (Eicosapentaenoic Acid)340 mg††DHA (Docosahexaenoic Acid)510 mg††Other Omega-3s210 mg††♦Percent Daily Values are based on 1 ,000 calorie diet.**Percent Daily Values are based on a 2,000 calorie diet.†Daily Value not established.¹ Daily Value (DV) for children 1-3 years of age,² Daily Value (DV) for adults and children over 4 years of age.Contains less than 2 percent of the Daily Value of vitamin D.",성분 추출 실패
"Mason Natural, Calcium Magnesium & Zinc, 100 Tablets",Calcium,Zinc,Supplement FactsServing Size 1 Tablet Amount per serving% Daily ValueCalcium (as calcium carbonate)334 mg26%Magnesium (as magnesium oxide)134 mg32%Zinc (as zinc sulfate)5 mg45%,성분 추출 실패
"Natural Factors, Zinc Citrate, 50 mg, 90 Tablets",Zinc,Common Cold & Flu,Supplement FactsServing Size: 1 Tablet Amount Per Serving% Daily ValueZinc (citrate)50 mg455%,성분 추출 실패
"Pure Indian Foods, Organic Ginger Root, Coarse Granules, 2 oz (56 g)",Ginger Spices,,,공란 또는 타입 오류
"Dr. Axe / Ancient Nutrition, Lion's Mane, Mental Clarity And Concentration, 30 Tablets",Lions Mane,Cognitive & Memory Formulas,"Supplement FactsServing Size: 1 TabletServings Per Container: 30 Amount Per Serving%Daily ValueOrganic Mushroom and Botanical BlendOrganic Lion´s Mane (Hericium erinaceus) Mushroom Extract, Organic Ashwagandha Root and Leaf Extract1 g ++Daily Value (DV) not established.",성분 추출 실패
"NaturesPlus, Hema-Plex Liquid, Mixed Berry, 8.5 fl oz (250 ml)",Iron,Blood Support Formulas,"Supplement FactsServing Size: 2 tsp (10 ml) Adults; 1 tsp (5 ml) (Children)Servings Per Container: 25 (Adult); 50 (Children)Amount Per ServingAdults & Children ≥ 4 Years% Daily Value**Pregnant & Lactating Women%Daily Value***Children 1-3 Years% Daily Value§Calories5 50 Total Carbohydrate1 g<1%**1 g<1%***<1 g0%§Sugar Alcohol (glycerin)1 g†1 g†<1 g†Vitamin C (as ascorbic acid & calcium ascorbate)60 mg67%60 mg50%30 mg200%Thiamin (vitamin B1) (as thiamine hydrochloride)0.6 mg50%0.6 mg43%0.3 mg60%Riboflavin (vitamin B2)0.6 mg46%0.6 mg38%0.3 mg60%Niacin (as niacinamide)4 mg NE25%4 mg NE22%2 mg NE33%Vitamin B6 (as pyridoxine HCI)0.7 mg41%0.7 mg35%0.3 mg60%Folate (as calcium-L-5-methyltetrahydrofolate)167 mcg DFE (100 mcg L-methylfolate)42%167 mcg DFE (100 mcg L-methylfolate)28%83 mcg (100 mcg L-methylfolate)55%Vitamin B12 (as methylcobalamin)250 mcg10,417%250 mcg8929%125 mcg13,889%Pantothenic Acid (as calcium pantothenate)2 mg40%2 mg29%1 mg50%Iron (as ferrous bisglycinate chelate) (Ferrochel™)18 mg100%18 mg67%9 mg129%L-Cysteine (free form amino acid)30 mg†30 mg†15 mg†Non-GMO Cranberry Fruit Extract15 mg†15 mg†7.5 mg†**Percent Daily Values are based on a 2,000 calorie diet.***Percent Daily Values for pregnant women and lactating women.§Percent Daily Values are based on a 1,000 calorie diet.†Daily Value not established.",성분 추출 실패
"Bluebonnet Nutrition, Vitamin B6, 200 mg, 90 Vegetable Capsules",B6 Pyridoxine,,"Supplement FactsServing Size: 1 Capsule Amount Per Serving%Daily ValueVitamin B6 (as pyridoxine HCI)200 mg11,765Daily Value based on a 2,000 calorie diet.",성분 추출 실패
"Quantum Health, TheraZinc, Immune Support Throat Spray, Peppermint, 4 fl oz (118 ml)",Zinc,Immune Support,Supplement FactsServing Size: 8 Sprays (1.4 ml)Servings Per Container: 82 Amount Per Serving% Daily ValueZinc (from Zinc Gluconate)7.4 mg67%,성분 추출 실패
"Uncle Lee's Tea, Body Slim Dieter Tea, Lemon, Caffeine Free, 30 Tea Bags, 2.12 oz (60 g)",Medicinal Teas,Herbal Tea,"Supplement FactsServing Size: 1 cup (1 tea bag)(8 fl oz)Serving Per Container: 30 Amount Per Serving% Daily Value*Calories0 Calories from fat0 Total Fat0 g0%Saturated Fat0 g0%Sodium0 g0%Total Carbohydrate<1 g0%Protein0 g Not a significant source of cholesterol, dietary fiber, sugars, vitamin A, vitamin C, calcium and iron.*Percent Daily Values are based on a 2,000 calorie diet.",성분 추출 실패
"California Gold Nutrition, CollagenUP, Hydrolyzed Marine Collagen Peptides with Hyaluronic Acid and Vitamin C, Unflavored, 16.37 oz (464 g)",Collagen Supplements,,"Supplement FactsServing Size: 1 scoop (5 grams♦)Servings Per Container: About 93Amount Per Serving%Daily ValueCalories20Protein4 g<1%**Vitamin C (as Calcium Ascorbate)90 mg100%Sodium20 mg1%Hydrolyzed Marine Collagen Peptides5 g†Hyaluronic Acid (as Sodium Hyaluronate)60 mg†** Percent Daily Values are based on a 2,000 calorie diet.†Daily Value not established",성분 추출 실패
"NB Pure, Para end, Cleanse, 90 Capsules",Intestinal Formulas,Detox & Cleanse Formulas,"Supplement FactsServing Size: 6 capsulesServing Per Container: 15 Amount Per Serving%Daily ValueProprietary Blend:Diatomaceous Earth, Black Walnut Hull, Wormwood, Clove Powder, Oil of Oregano Powder, Olive Leaf Extract, Garlic Powder (odorless), Grapefruit Seed Extract 4:1, Goldenseal Root Extract, Ginger Root Extract & Turmeric PE 4:14100 mg††Daily Value not established",성분 추출 실패
"Amazing Nutrition, L-Citrulline, 1,000 mg, 120 Tablets",L-Citrulline,,"Supplement FactsServing Size: 2 TabletsServings Per Container: 60 Amount Per Serving%Daily ValueL-Citrulline2,000 mg****Daily Value not established",성분 추출 실패
